address,scope,rfc
0.0.0.0/8,This Network,RFC1122
10.0.0.0/8,Private,RFC1918
100.64.0.0/10,CGN Shared Address,RFC6888
127.0.0.0/8,Loopback,RFC1122
169.254.0.0/24,Link Local,RFC3927
172.16.0.0/12,Private,RFC1918
192.0.0.0/24,IETF Protocol Assignments,RFC6890
192.0.0.0/29,DS-Lite(Dual-Stack Lite) IPv4 over IPv6,RFC6333
192.0.2.0/24,TEST-NET-1,RFC5737
192.88.99.0/24,6to4 Relay Anycast,RFC7526
192.168.0.0/16,Private,RFC1918
198.18.0.0/15,Benchmarking,RFC2544
198.51.100.0/24,TEST-NET-2,RFC5737
203.0.113.0/24,TEST-NET-3,RFC5737
224.0.0.0/4,Multicast,RFC1112
240.0.0.0/4,Feature Use,RFC5735
255.255.255.255/32,Broadcast,RFC0919
