view_key,view_name,config_name,default_value,width,visible
eid,,eid,,,
type,,type,overload,,
startip,,startip,0.0.0.0,,
endip,,endip,0.0.0.0,,
arp-reply,,arp-reply,enable,,
arp-intf,,arp-intf,,,
associated-interface,,associated-interface,,,
comments,,comments,,,
source-startip,,source-startip,0.0.0.0,,
source-endip,,source-endip,0.0.0.0,,
port-per-user,,port-per-user,0,,
block-size,,,,,
num-blocks-per-user,,,8,,
pba-timeout,,,30,,
permit-any-host,,,disable,,
